x_val,y_val,z_val,x_int,y_int,z_int,x_held,y_held,step_counter,cum_int,cum_total_score,cum_trial_score,reward,trial_count,graph,cb_group,has_focus
0,0,0,0,0,0,0,0,0,0,10,0,false,0,3,"A",1
-3,-2,11,0,0,0,0,0,1,0,10,0,false,0,3,"A",1
-2,3,-4,0,0,0,0,0,2,0,10,0,false,0,3,"A",1
11,5,3,0,0,0,0,0,3,0,10,0,false,0,3,"A",1
75,12,-22,1,0,0,0,0,4,1,9,0,false,0,3,"A",1
37,5,-5,0,0,0,0,0,5,1,9,0,false,0,3,"A",1
17,4,13,0,0,0,0,0,6,1,9,0,false,0,3,"A",1
-15,2,21,0,0,0,0,0,7,1,9,0,false,0,3,"A",1
-16,75,-3,0,1,0,0,0,8,2,8,0,false,0,3,"A",1
1,27,-5,0,0,0,0,0,9,2,8,0,false,0,3,"A",1
7,20,0,0,0,0,0,0,10,2,8,0,false,0,3,"A",1
7,-19,8,0,0,0,0,0,11,2,8,0,false,0,3,"A",1
-50,22,-9,1,0,0,0,0,12,3,7,0,false,0,3,"A",1
-50,-27,-20,1,0,0,0,0,13,4,6,0,false,0,3,"A",1
-50,-4,25,1,0,0,0,0,14,5,5,0,false,0,3,"A",1
-50,18,-1,1,0,0,0,0,15,6,4,0,false,0,3,"A",1
0,0,0,0,0,0,0,0,0,0,4,0,false,1,6,"A",1
14,-12,-3,0,0,0,0,0,1,0,4,0,false,1,6,"A",1
47,-1,-9,0,0,0,0,0,2,0,4,0,false,1,6,"A",1
29,-12,24,0,0,0,0,0,3,0,4,0,false,1,6,"A",1
75,-2,11,1,0,0,0,0,4,1,3,0,false,1,6,"A",1
-11,1,-26,0,0,0,0,0,5,1,3,0,false,1,6,"A",1
-22,-15,29,0,0,0,0,0,6,1,3,0,false,1,6,"A",1
-30,-17,1,0,0,0,0,0,7,1,3,0,false,1,6,"A",1
-5,75,6,0,1,0,0,0,8,2,2,0,false,1,6,"A",1
-8,4,-9,0,0,0,0,0,9,2,2,0,false,1,6,"A",1
36,2,3,0,0,0,0,0,10,2,2,0,false,1,6,"A",1
-18,-24,-21,0,0,0,0,0,11,2,2,0,false,1,6,"A",1
-50,7,44,1,0,0,0,0,12,3,6,5,true,1,6,"A",1
-50,-24,-18,1,0,0,0,0,13,4,5,5,false,1,6,"A",1
-50,4,8,1,0,0,0,0,14,5,4,5,false,1,6,"A",1
-50,-7,19,1,0,0,0,0,15,6,3,5,false,1,6,"A",1
0,0,0,0,0,0,0,0,0,0,3,0,false,2,5,"A",1
-24,1,14,0,0,0,0,0,1,0,3,0,false,2,5,"A",1
6,26,15,0,0,0,0,0,2,0,3,0,false,2,5,"A",1
11,15,-24,0,0,0,0,0,3,0,3,0,false,2,5,"A",1
75,-25,-11,1,0,0,0,0,4,1,2,0,false,2,5,"A",1
42,10,-54,0,0,0,0,0,5,1,2,0,false,2,5,"A",1
11,14,-12,0,0,0,0,0,6,1,2,0,false,2,5,"A",1
-19,35,-7,0,0,0,0,0,7,1,2,0,false,2,5,"A",1
3,75,-10,0,1,0,0,0,8,2,1,0,false,2,5,"A",1
-4,29,-14,0,0,0,0,0,9,2,1,0,false,2,5,"A",1
-29,-27,-26,0,0,0,0,0,10,2,1,0,false,2,5,"A",1
-12,9,13,0,0,0,0,0,11,2,1,0,false,2,5,"A",1
-50,12,5,1,0,0,0,0,12,3,0,0,false,2,5,"A",1
-50,1,6,1,0,0,0,0,13,4,-1,0,false,2,5,"A",1
-50,22,-6,1,0,0,0,0,14,5,-2,0,false,2,5,"A",1
-50,42,3,1,0,0,0,0,15,6,-3,0,false,2,5,"A",1
0,0,0,0,0,0,0,0,0,0,10,0,false,3,4,"A",1
-2,18,-5,0,0,0,0,0,1,0,10,0,false,3,4,"A",1
-6,-21,-16,0,0,0,0,0,2,0,10,0,false,3,4,"A",1
53,-7,-51,0,0,0,0,0,3,0,10,0,false,3,4,"A",1
75,-8,19,1,0,0,0,0,4,1,9,0,false,3,4,"A",1
20,15,-45,0,0,0,0,0,5,1,9,0,false,3,4,"A",1
-60,18,-2,0,0,0,0,0,6,1,9,0,false,3,4,"A",1
2,-22,10,0,0,0,0,0,7,1,9,0,false,3,4,"A",1
