x_val,y_val,z_val,x_int,y_int,z_int,x_held,y_held,step_counter,cum_int,cum_total_score,cum_trial_score,reward,trial_count,graph,cb_group,has_focus
1,24,26,0,0,0,0,0,11,2,-3,5,false,2,5,"A",1
16,-2,19,0,0,0,0,0,12,2,-3,5,false,2,5,"A",1
21,32,-11,0,0,0,0,0,13,2,-3,5,false,2,5,"A",1
-28,-7,-47,0,0,0,0,0,14,2,-3,5,false,2,5,"A",1
-38,75,-15,0,1,0,0,0,15,3,-4,5,false,2,5,"A",1
9,-15,-24,0,0,0,0,0,16,3,-4,5,false,2,5,"A",1
5,-30,22,0,0,0,0,0,17,3,-4,5,false,2,5,"A",1
14,-31,-2,0,0,0,0,0,18,3,-4,5,false,2,5,"A",1
10,-28,12,0,0,0,0,0,19,3,-4,5,false,2,5,"A",1
30,-75,4,0,1,0,0,0,20,4,-5,5,false,2,5,"A",1
6,-19,20,0,0,0,0,0,21,4,-5,5,false,2,5,"A",1
9,-26,29,0,0,0,0,0,22,4,-5,5,false,2,5,"A",1
33,0,-18,0,0,0,0,0,23,4,-5,5,false,2,5,"A",1
24,-15,4,0,0,0,0,0,24,4,-5,5,false,2,5,"A",1
-50,-6,-8,1,0,0,0,0,25,5,-6,5,false,2,5,"A",1
-50,-11,19,1,0,0,0,0,26,6,-7,5,false,2,5,"A",1
-50,15,50,1,0,0,0,0,27,7,-3,10,true,2,5,"A",1
-50,13,22,1,0,0,0,0,28,8,-4,10,false,2,5,"A",1
-31,-20,40,0,0,0,0,0,29,8,1,15,true,2,5,"A",1
11,11,14,0,0,0,0,0,30,8,1,15,false,2,5,"A",1
0,0,0,0,0,0,0,0,0,0,10,0,false,3,4,"A",1
11,5,-10,0,0,0,0,0,1,0,10,0,false,3,4,"A",1
-7,-21,-41,0,0,0,0,0,2,0,10,0,false,3,4,"A",1
13,-23,20,0,0,0,0,0,3,0,10,0,false,3,4,"A",1
-5,-8,-21,0,0,0,0,0,4,0,10,0,false,3,4,"A",1
75,-5,9,1,0,0,0,0,5,1,9,0,false,3,4,"A",1
41,-8,6,0,0,0,0,0,6,1,9,0,false,3,4,"A",1
19,-6,-29,0,0,0,0,0,7,1,9,0,false,3,4,"A",1
-7,25,19,0,0,0,0,0,8,1,9,0,false,3,4,"A",1
-8,1,-9,0,0,0,0,0,9,1,9,0,false,3,4,"A",1
-75,-21,-30,1,0,0,0,0,10,2,8,0,false,3,4,"A",1
-1,-30,27,0,0,0,0,0,11,2,8,0,false,3,4,"A",1
18,-18,-6,0,0,0,0,0,12,2,8,0,false,3,4,"A",1
6,-11,18,0,0,0,0,0,13,2,8,0,false,3,4,"A",1
1,25,12,0,0,0,0,0,14,2,8,0,false,3,4,"A",1
-1,75,-5,0,1,0,0,0,15,3,7,0,false,3,4,"A",1
-19,15,11,0,0,0,0,0,16,3,7,0,false,3,4,"A",1
7,-25,4,0,0,0,0,0,17,3,7,0,false,3,4,"A",1
-20,-21,-24,0,0,0,0,0,18,3,7,0,false,3,4,"A",1
-8,-12,18,0,0,0,0,0,19,3,7,0,false,3,4,"A",1
5,-75,7,0,1,0,0,0,20,4,6,0,false,3,4,"A",1
-28,-10,20,0,0,0,0,0,21,4,6,0,false,3,4,"A",1
4,-29,-4,0,0,0,0,0,22,4,6,0,false,3,4,"A",1
21,-5,0,0,0,0,0,0,23,4,6,0,false,3,4,"A",1
-8,-39,-24,0,0,0,0,0,24,4,6,0,false,3,4,"A",1
-50,-26,-3,1,0,0,0,0,25,5,5,0,false,3,4,"A",1
-50,-18,-10,1,0,0,0,0,26,6,4,0,false,3,4,"A",1
-50,11,-1,1,0,0,0,0,27,7,3,0,false,3,4,"A",1
-50,-6,-21,1,0,0,0,0,28,8,2,0,false,3,4,"A",1
-20,33,-25,0,0,0,0,0,29,8,2,0,false,3,4,"A",1
-12,13,26,0,0,0,0,0,30,8,2,0,false,3,4,"A",1
0,0,0,0,0,0,0,0,0,0,2,0,false,4,3,"A",1
-33,11,16,0,0,0,0,0,1,0,2,0,false,4,3,"A",1
4,-14,-18,0,0,0,0,0,2,0,2,0,false,4,3,"A",1
4,-34,-10,0,0,0,0,0,3,0,2,0,false,4,3,"A",1
-32,-38,-8,0,0,0,0,0,4,0,2,0,false,4,3,"A",1
75,-34,0,1,0,0,0,0,5,1,1,0,false,4,3,"A",1
2,10,-35,0,0,0,0,0,6,1,1,0,false,4,3,"A",1
7,24,-6,0,0,0,0,0,7,1,1,0,false,4,3,"A",1
15,-5,-2,0,0,0,0,0,8,1,1,0,false,4,3,"A",1
-8,-16,-11,0,0,0,0,0,9,1,1,0,false,4,3,"A",1
-75,5,18,1,0,0,0,0,10,2,0,0,false,4,3,"A",1
-15,-32,18,0,0,0,0,0,11,2,0,0,false,4,3,"A",1
-3,-9,8,0,0,0,0,0,12,2,0,0,false,4,3,"A",1
-27,-33,20,0,0,0,0,0,13,2,0,0,false,4,3,"A",1
-27,19,48,0,0,0,0,0,14,2,5,5,true,4,3,"A",1
-6,75,-14,0,1,0,0,0,15,3,4,5,false,4,3,"A",1
-5,39,32,0,0,0,0,0,16,3,4,5,false,4,3,"A",1
-25,44,31,0,0,0,0,0,17,3,4,5,false,4,3,"A",1
-39,6,-13,0,0,0,0,0,18,3,4,5,false,4,3,"A",1
-2,29,6,0,0,0,0,0,19,3,4,5,false,4,3,"A",1
22,-75,6,0,1,0,0,0,20,4,3,5,false,4,3,"A",1
-34,-9,20,0,0,0,0,0,21,4,3,5,false,4,3,"A",1
-21,28,51,0,0,0,0,0,22,4,8,10,true,4,3,"A",1
-10,-30,0,0,0,0,0,0,23,4,8,10,false,4,3,"A",1
2,-2,-9,0,0,0,0,0,24,4,8,10,false,4,3,"A",1
-50,4,-8,1,0,0,0,0,25,5,7,10,false,4,3,"A",1
-50,-27,27,1,0,0,0,0,26,6,6,10,false,4,3,"A",1
-50,-26,0,1,0,0,0,0,27,7,5,10,false,4,3,"A",1
-50,-16,33,1,0,0,0,0,28,8,4,10,false,4,3,"A",1
-32,-22,-17,0,0,0,0,0,29,8,4,10,false,4,3,"A",1
9,-20,0,0,0,0,0,0,30,8,4,10,false,4,3,"A",1
0,0,0,0,0,0,0,0,0,0,4,0,false,5,1,"A",1
14,-21,33,0,0,0,0,0,1,0,4,0,false,5,1,"A",1
20,-15,3,0,0,0,0,0,2,0,4,0,false,5,1,"A",1
