x_val,y_val,z_val,x_int,y_int,z_int,x_held,y_held,step_counter,cum_int,cum_total_score,cum_trial_score,reward,trial_count,graph,cb_group,has_focus
0,0,0,0,0,0,0,0,0,0,10,0,false,0,6,"A",1
-6,-2,0,0,0,0,0,0,1,0,10,0,false,0,6,"A",1
-4,-4,2,0,0,0,0,0,2,0,10,0,false,0,6,"A",1
-3,5,7,0,0,0,0,0,3,0,10,0,false,0,6,"A",1
-6,4,-1,0,0,0,0,0,4,0,10,0,false,0,6,"A",1
75,1,7,1,0,0,0,0,5,1,9,0,false,0,6,"A",1
9,3,-62,0,0,0,0,0,6,1,9,0,false,0,6,"A",1
52,2,-26,0,0,0,0,0,7,1,9,0,false,0,6,"A",1
28,-4,-48,0,0,0,0,0,8,1,9,0,false,0,6,"A",1
45,-7,-31,0,0,0,0,0,9,1,9,0,false,0,6,"A",1
-75,-4,-46,1,0,0,0,0,10,2,8,0,false,0,6,"A",1
19,1,46,0,0,0,0,0,11,2,13,5,true,0,6,"A",1
-34,-1,-10,0,0,0,0,0,12,2,13,5,false,0,6,"A",1
6,3,33,0,0,0,0,0,13,2,13,5,false,0,6,"A",1
-27,-1,-7,0,0,0,0,0,14,2,13,5,false,0,6,"A",1
-2,75,22,0,1,0,0,0,15,3,12,5,false,0,6,"A",1
-85,12,-62,0,0,0,0,0,16,3,12,5,false,0,6,"A",1
25,7,41,0,0,0,0,0,17,3,17,10,true,0,6,"A",1
-37,1,-17,0,0,0,0,0,18,3,17,10,false,0,6,"A",1
7,0,20,0,0,0,0,0,19,3,17,10,false,0,6,"A",1
-19,-75,3,0,1,0,0,0,20,4,16,10,false,0,6,"A",1
56,-16,72,0,0,0,0,0,21,4,16,10,false,0,6,"A",1
-37,-8,-20,0,0,0,0,0,22,4,16,10,false,0,6,"A",1
10,2,34,0,0,0,0,0,23,4,16,10,false,0,6,"A",1
-27,-5,-4,0,0,0,0,0,24,4,16,10,false,0,6,"A",1
-50,-8,25,1,0,0,0,0,25,5,15,10,false,0,6,"A",1
-50,-5,49,1,0,0,0,0,26,6,19,15,true,0,6,"A",1
-50,1,55,1,0,0,0,0,27,7,23,20,true,0,6,"A",1
-50,0,48,1,0,0,0,0,28,8,27,25,true,0,6,"A",1
-50,-3,48,0,0,0,0,0,29,8,32,30,true,0,6,"A",1
-41,2,49,0,0,0,0,0,30,8,37,35,true,0,6,"A",1
0,0,0,0,0,0,0,0,0,0,37,0,false,1,4,"A",1
1,-6,-1,0,0,0,0,0,1,0,37,0,false,1,4,"A",1
4,3,-1,0,0,0,0,0,2,0,37,0,false,1,4,"A",1
3,3,0,0,0,0,0,0,3,0,37,0,false,1,4,"A",1
-2,2,0,0,0,0,0,0,4,0,37,0,false,1,4,"A",1
75,-3,1,1,0,0,0,0,5,1,36,0,false,1,4,"A",1
21,-2,-61,0,0,0,0,0,6,1,36,0,false,1,4,"A",1
-37,2,-29,0,0,0,0,0,7,1,36,0,false,1,4,"A",1
-36,1,22,0,0,0,0,0,8,1,36,0,false,1,4,"A",1
13,0,21,0,0,0,0,0,9,1,36,0,false,1,4,"A",1
-75,-1,-5,1,0,0,0,0,10,2,35,0,false,1,4,"A",1
-20,-3,52,0,0,0,0,0,11,2,40,5,true,1,4,"A",1
38,4,20,0,0,0,0,0,12,2,40,5,false,1,4,"A",1
21,0,-20,0,0,0,0,0,13,2,40,5,false,1,4,"A",1
-11,2,-27,0,0,0,0,0,14,2,40,5,false,1,4,"A",1
-24,75,1,0,1,0,0,0,15,3,39,5,false,1,4,"A",1
-67,15,17,0,0,0,0,0,16,3,39,5,false,1,4,"A",1
-9,0,59,0,0,0,0,0,17,3,44,10,true,1,4,"A",1
46,2,14,0,0,0,0,0,18,3,44,10,false,1,4,"A",1
21,1,-30,0,0,0,0,0,19,3,44,10,false,1,4,"A",1
-22,-75,-19,0,1,0,0,0,20,4,43,10,false,1,4,"A",1
48,-19,16,0,0,0,0,0,21,4,43,10,false,1,4,"A",1
30,2,-34,0,0,0,0,0,22,4,43,10,false,1,4,"A",1
-27,-2,-25,0,0,0,0,0,23,4,43,10,false,1,4,"A",1
-26,2,22,0,0,0,0,0,24,4,43,10,false,1,4,"A",1
-50,0,29,1,0,0,0,0,25,5,42,10,false,1,4,"A",1
-50,-2,47,1,0,0,0,0,26,6,46,15,true,1,4,"A",1
-50,8,53,1,0,0,0,0,27,7,50,20,true,1,4,"A",1
-50,0,51,1,0,0,0,0,28,8,54,25,true,1,4,"A",1
33,-5,52,0,0,0,0,0,29,8,59,30,true,1,4,"A",1
54,-7,-20,0,0,0,0,0,30,8,59,30,false,1,4,"A",1
0,0,0,0,0,0,0,0,0,0,59,0,false,2,3,"A",1
-7,-6,-4,0,0,0,0,0,1,0,59,0,false,2,3,"A",1
-7,3,14,0,0,0,0,0,2,0,59,0,false,2,3,"A",1
2,5,14,0,0,0,0,0,3,0,59,0,false,2,3,"A",1
8,-2,1,0,0,0,0,0,4,0,59,0,false,2,3,"A",1
75,5,-12,1,0,0,0,0,5,1,58,0,false,2,3,"A",1
20,1,-65,0,0,0,0,0,6,1,58,0,false,2,3,"A",1
-3,2,-27,0,0,0,0,0,7,1,58,0,false,2,3,"A",1
-1,0,-6,0,0,0,0,0,8,1,58,0,false,2,3,"A",1
-5,-2,2,0,0,0,0,0,9,1,58,0,false,2,3,"A",1
